Date : 2022-06-20 14:59:09
Directory : c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots
Total : 184 files,  104852 codes, 3323 comments, 5732 blanks, all 113907 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\assets\scss\base\_base.scss                                           | SCSS       |         11 |          1 |          1 |         13 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\assets\scss\components\_battery.scss                                  | SCSS       |        122 |          5 |         10 |        137 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\assets\scss\components\_breakpoints.scss                              | SCSS       |         15 |          4 |          2 |         21 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\assets\scss\config\_variables.scss                                    | SCSS       |         27 |          7 |          4 |         38 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\assets\scss\styles.scss                                               | SCSS       |          4 |          0 |          0 |          4 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\battery-level-indicator-main\README.md                                | Markdown   |         11 |          0 |          4 |         15 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\battery-level-indicator-main\assets\csss\styles.css                   | CSS        |        177 |         17 |         29 |        223 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\battery-level-indicator-main\assets\jss\main.js                       | JavaScript |         46 |          6 |          6 |         58 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\battery-level-indicator-main\assets\scss\base\_base.scss              | SCSS       |         11 |          1 |          1 |         13 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\battery-level-indicator-main\assets\scss\components\_battery.scss     | SCSS       |        122 |          5 |         10 |        137 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\battery-level-indicator-main\assets\scss\components\_breakpoints.scss | SCSS       |         15 |          4 |          2 |         21 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\battery-level-indicator-main\assets\scss\config\_variables.scss       | SCSS       |         27 |          7 |          4 |         38 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\battery-level-indicator-main\assets\scss\styles.scss                  | SCSS       |          4 |          0 |          0 |          4 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\battery-level-indicator-main\index.html                               | HTML       |         31 |          4 |          6 |         41 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\chargelist.js                                                         | JavaScript |      2,371 |          0 |         76 |      2,447 |
