"filename", "language", "HTML", "JavaScript", "CSS", "XML", "SCSS", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\mixins\_hover.scss", "SCSS", 0, 0, 0, 0, 23, 0, 0, 10, 5, 38
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\mixins\_image.scss", "SCSS", 0, 0, 0, 0, 13, 0, 0, 16, 8, 37
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\mixins\_list-group.scss", "SCSS", 0, 0, 0, 0, 17, 0, 0, 1, 4, 22
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\mixins\_lists.scss", "SCSS", 0, 0, 0, 0, 4, 0, 0, 2, 2, 8
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\mixins\_nav-divider.scss", "SCSS", 0, 0, 0, 0, 6, 0, 0, 3, 2, 11
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\mixins\_pagination.scss", "SCSS", 0, 0, 0, 0, 19, 0, 0, 1, 3, 23
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\mixins\_reset-text.scss", "SCSS", 0, 0, 0, 0, 16, 0, 0, 1, 1, 18
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\mixins\_resize.scss", "SCSS", 0, 0, 0, 0, 4, 0, 0, 1, 2, 7
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\mixins\_screen-reader.scss", "SCSS", 0, 0, 0, 0, 21, 0, 0, 9, 4, 34
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\mixins\_size.scss", "SCSS", 0, 0, 0, 0, 5, 0, 0, 1, 2, 8
